CAEN Rev.2  (activitati ale economiei nationale), Clase de marime, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Miliarde lei  lei RON  mii lei RON milioane lei RON (incepand cu 2005), Valoare
B  INDUSTRIA EXTRACTIVA, Total, Maramures, Anul 2020, Milioane lei RON, 101
B  INDUSTRIA EXTRACTIVA, Total, Maramures, Anul 2021, Milioane lei RON, 108
B  INDUSTRIA EXTRACTIVA, Total, Maramures, Anul 2022, Milioane lei RON, 130
B  INDUSTRIA EXTRACTIVA, Total, Maramures, Anul 2023, Milioane lei RON, 150
B  INDUSTRIA EXTRACTIVA, Total, Maramures, Anul 2024, Milioane lei RON, 140
B  INDUSTRIA EXTRACTIVA, Total, Satu Mare, Anul 2008, Milioane lei RON, 15
B  INDUSTRIA EXTRACTIVA, Total, Satu Mare, Anul 2009, Milioane lei RON, 8
B  INDUSTRIA EXTRACTIVA, Total, Satu Mare, Anul 2010, Milioane lei RON, 31
B  INDUSTRIA EXTRACTIVA, Total, Satu Mare, Anul 2011, Milioane lei RON, 12
B  INDUSTRIA EXTRACTIVA, Total, Satu Mare, Anul 2012, Milioane lei RON, 17
B  INDUSTRIA EXTRACTIVA, Total, Satu Mare, Anul 2013, Milioane lei RON, 11
B  INDUSTRIA EXTRACTIVA, Total, Satu Mare, Anul 2014, Milioane lei RON, 10
B  INDUSTRIA EXTRACTIVA, Total, Satu Mare, Anul 2015, Milioane lei RON, 11
B  INDUSTRIA EXTRACTIVA, Total, Satu Mare, Anul 2016, Milioane lei RON, 19
B  INDUSTRIA EXTRACTIVA, Total, Satu Mare, Anul 2017, Milioane lei RON, 22
B  INDUSTRIA EXTRACTIVA, Total, Satu Mare, Anul 2018, Milioane lei RON, 17
B  INDUSTRIA EXTRACTIVA, Total, Satu Mare, Anul 2019, Milioane lei RON, 18
B  INDUSTRIA EXTRACTIVA, Total, Satu Mare, Anul 2020, Milioane lei RON, 96
B  INDUSTRIA EXTRACTIVA, Total, Satu Mare, Anul 2021, Milioane lei RON, 143
B  INDUSTRIA EXTRACTIVA, Total, Satu Mare, Anul 2022, Milioane lei RON, 37
B  INDUSTRIA EXTRACTIVA, Total, Satu Mare, Anul 2023, Milioane lei RON, 65
B  INDUSTRIA EXTRACTIVA, Total, Satu Mare, Anul 2024, Milioane lei RON, 71
B  INDUSTRIA EXTRACTIVA, Total, Salaj, Anul 2008, Milioane lei RON, 15
B  INDUSTRIA EXTRACTIVA, Total, Salaj, Anul 2009, Milioane lei RON, 34
B  INDUSTRIA EXTRACTIVA, Total, Salaj, Anul 2010, Milioane lei RON, 8
B  INDUSTRIA EXTRACTIVA, Total, Salaj, Anul 2011, Milioane lei RON, 13
B  INDUSTRIA EXTRACTIVA, Total, Salaj, Anul 2012, Milioane lei RON, 30
B  INDUSTRIA EXTRACTIVA, Total, Salaj, Anul 2013, Milioane lei RON, 9
B  INDUSTRIA EXTRACTIVA, Total, Salaj, Anul 2014, Milioane lei RON, 15
B  INDUSTRIA EXTRACTIVA, Total, Salaj, Anul 2015, Milioane lei RON, 14
B  INDUSTRIA EXTRACTIVA, Total, Salaj, Anul 2016, Milioane lei RON, 15
