CAEN Rev.2  (activitati ale economiei nationale), Clase de marime, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Miliarde lei  lei RON  mii lei RON milioane lei RON (incepand cu 2005), Valoare
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Caras-Severin, Anul 2010, Milioane lei RON, 99
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Caras-Severin, Anul 2011, Milioane lei RON, 135
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Caras-Severin, Anul 2012, Milioane lei RON, 205
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Caras-Severin, Anul 2013, Milioane lei RON, 132
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Caras-Severin, Anul 2014, Milioane lei RON, 132
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Caras-Severin, Anul 2015, Milioane lei RON, 110
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Caras-Severin, Anul 2016, Milioane lei RON, 96
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Caras-Severin, Anul 2017, Milioane lei RON, 118
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Caras-Severin, Anul 2018, Milioane lei RON, 124
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Caras-Severin, Anul 2019, Milioane lei RON, 99
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Caras-Severin, Anul 2020, Milioane lei RON, 99
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Caras-Severin, Anul 2021, Milioane lei RON, 121
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Caras-Severin, Anul 2022, Milioane lei RON, 134
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Caras-Severin, Anul 2023, Milioane lei RON, 152
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Caras-Severin, Anul 2024, Milioane lei RON, 196
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Hunedoara, Anul 2008, Milioane lei RON, 403
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Hunedoara, Anul 2009, Milioane lei RON, 256
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Hunedoara, Anul 2010, Milioane lei RON, 390
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Hunedoara, Anul 2011, Milioane lei RON, 428
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Hunedoara, Anul 2012, Milioane lei RON, 371
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Hunedoara, Anul 2013, Milioane lei RON, 316
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Hunedoara, Anul 2014, Milioane lei RON, 297
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Hunedoara, Anul 2015, Milioane lei RON, 270
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Hunedoara, Anul 2016, Milioane lei RON, 248
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Hunedoara, Anul 2017, Milioane lei RON, 290
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Hunedoara, Anul 2018, Milioane lei RON, 315
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Hunedoara, Anul 2019, Milioane lei RON, 283
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Hunedoara, Anul 2020, Milioane lei RON, 297
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Hunedoara, Anul 2021, Milioane lei RON, 429
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Hunedoara, Anul 2022, Milioane lei RON, 438
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Hunedoara, Anul 2023, Milioane lei RON, 395
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Hunedoara, Anul 2024, Milioane lei RON, 452
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Timis, Anul 2008, Milioane lei RON, 253
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Timis, Anul 2009, Milioane lei RON, 226
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Timis, Anul 2010, Milioane lei RON, 335
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Timis, Anul 2011, Milioane lei RON, 416
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Timis, Anul 2012, Milioane lei RON, 441
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Timis, Anul 2013, Milioane lei RON, 363
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Timis, Anul 2014, Milioane lei RON, 395
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Timis, Anul 2015, Milioane lei RON, 345
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Timis, Anul 2016, Milioane lei RON, 359
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Timis, Anul 2017, Milioane lei RON, 440
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Timis, Anul 2018, Milioane lei RON, 490
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Timis, Anul 2019, Milioane lei RON, 515
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Timis, Anul 2020, Milioane lei RON, 514
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Timis, Anul 2021, Milioane lei RON, 708
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Timis, Anul 2022, Milioane lei RON, 867
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Timis, Anul 2023, Milioane lei RON, 924
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Timis, Anul 2024, Milioane lei RON, 971
F  CONSTRUCTII, Total, Bihor, Anul 2008, Milioane lei RON, 2094
F  CONSTRUCTII, Total, Bihor, Anul 2009, Milioane lei RON, 1911
F  CONSTRUCTII, Total, Bihor, Anul 2010, Milioane lei RON, 1890
F  CONSTRUCTII, Total, Bihor, Anul 2011, Milioane lei RON, 2065
F  CONSTRUCTII, Total, Bihor, Anul 2012, Milioane lei RON, 1981
F  CONSTRUCTII, Total, Bihor, Anul 2013, Milioane lei RON, 1524
F  CONSTRUCTII, Total, Bihor, Anul 2014, Milioane lei RON, 1798
F  CONSTRUCTII, Total, Bihor, Anul 2015, Milioane lei RON, 2055
F  CONSTRUCTII, Total, Bihor, Anul 2016, Milioane lei RON, 1916
F  CONSTRUCTII, Total, Bihor, Anul 2017, Milioane lei RON, 1951
F  CONSTRUCTII, Total, Bihor, Anul 2018, Milioane lei RON, 2122
F  CONSTRUCTII, Total, Bihor, Anul 2019, Milioane lei RON, 2973
F  CONSTRUCTII, Total, Bihor, Anul 2020, Milioane lei RON, 3562
F  CONSTRUCTII, Total, Bihor, Anul 2021, Milioane lei RON, 3841
F  CONSTRUCTII, Total, Bihor, Anul 2022, Milioane lei RON, 4691
F  CONSTRUCTII, Total, Bihor, Anul 2023, Milioane lei RON, 6087
F  CONSTRUCTII, Total, Bihor, Anul 2024, Milioane lei RON, 6532
F  CONSTRUCTII, Total, Bistrita-Nasaud, Anul 2008, Milioane lei RON, 691
F  CONSTRUCTII, Total, Bistrita-Nasaud, Anul 2009, Milioane lei RON, 532
F  CONSTRUCTII, Total, Bistrita-Nasaud, Anul 2010, Milioane lei RON, 448
F  CONSTRUCTII, Total, Bistrita-Nasaud, Anul 2011, Milioane lei RON, 444
F  CONSTRUCTII, Total, Bistrita-Nasaud, Anul 2012, Milioane lei RON, 593
F  CONSTRUCTII, Total, Bistrita-Nasaud, Anul 2013, Milioane lei RON, 581
F  CONSTRUCTII, Total, Bistrita-Nasaud, Anul 2014, Milioane lei RON, 759
F  CONSTRUCTII, Total, Bistrita-Nasaud, Anul 2015, Milioane lei RON, 949
F  CONSTRUCTII, Total, Bistrita-Nasaud, Anul 2016, Milioane lei RON, 784
F  CONSTRUCTII, Total, Bistrita-Nasaud, Anul 2017, Milioane lei RON, 889
F  CONSTRUCTII, Total, Bistrita-Nasaud, Anul 2018, Milioane lei RON, 1108
F  CONSTRUCTII, Total, Bistrita-Nasaud, Anul 2019, Milioane lei RON, 1639
F  CONSTRUCTII, Total, Bistrita-Nasaud, Anul 2020, Milioane lei RON, 1934
F  CONSTRUCTII, Total, Bistrita-Nasaud, Anul 2021, Milioane lei RON, 2124
F  CONSTRUCTII, Total, Bistrita-Nasaud, Anul 2022, Milioane lei RON, 2701
F  CONSTRUCTII, Total, Bistrita-Nasaud, Anul 2023, Milioane lei RON, 3290
F  CONSTRUCTII, Total, Bistrita-Nasaud, Anul 2024, Milioane lei RON, 4281
F  CONSTRUCTII, Total, Cluj, Anul 2008, Milioane lei RON, 5414
F  CONSTRUCTII, Total, Cluj, Anul 2009, Milioane lei RON, 4889
F  CONSTRUCTII, Total, Cluj, Anul 2010, Milioane lei RON, 3639
F  CONSTRUCTII, Total, Cluj, Anul 2011, Milioane lei RON, 3925
F  CONSTRUCTII, Total, Cluj, Anul 2012, Milioane lei RON, 4481
F  CONSTRUCTII, Total, Cluj, Anul 2013, Milioane lei RON, 5113
F  CONSTRUCTII, Total, Cluj, Anul 2014, Milioane lei RON, 4481
F  CONSTRUCTII, Total, Cluj, Anul 2015, Milioane lei RON, 5840
F  CONSTRUCTII, Total, Cluj, Anul 2016, Milioane lei RON, 5010
F  CONSTRUCTII, Total, Cluj, Anul 2017, Milioane lei RON, 5516
F  CONSTRUCTII, Total, Cluj, Anul 2018, Milioane lei RON, 6393
F  CONSTRUCTII, Total, Cluj, Anul 2019, Milioane lei RON, 7787
F  CONSTRUCTII, Total, Cluj, Anul 2020, Milioane lei RON, 8419
F  CONSTRUCTII, Total, Cluj, Anul 2021, Milioane lei RON, 9055
F  CONSTRUCTII, Total, Cluj, Anul 2022, Milioane lei RON, 10804
F  CONSTRUCTII, Total, Cluj, Anul 2023, Milioane lei RON, 13789
F  CONSTRUCTII, Total, Cluj, Anul 2024, Milioane lei RON, 15166
F  CONSTRUCTII, Total, Maramures, Anul 2008, Milioane lei RON, 1143
F  CONSTRUCTII, Total, Maramures, Anul 2009, Milioane lei RON, 1137
F  CONSTRUCTII, Total, Maramures, Anul 2010, Milioane lei RON, 1158
F  CONSTRUCTII, Total, Maramures, Anul 2011, Milioane lei RON, 1206
F  CONSTRUCTII, Total, Maramures, Anul 2012, Milioane lei RON, 1063
F  CONSTRUCTII, Total, Maramures, Anul 2013, Milioane lei RON, 962
F  CONSTRUCTII, Total, Maramures, Anul 2014, Milioane lei RON, 1142
F  CONSTRUCTII, Total, Maramures, Anul 2015, Milioane lei RON, 1358
F  CONSTRUCTII, Total, Maramures, Anul 2016, Milioane lei RON, 1266
F  CONSTRUCTII, Total, Maramures, Anul 2017, Milioane lei RON, 1325
F  CONSTRUCTII, Total, Maramures, Anul 2018, Milioane lei RON, 1401
F  CONSTRUCTII, Total, Maramures, Anul 2019, Milioane lei RON, 2005
F  CONSTRUCTII, Total, Maramures, Anul 2020, Milioane lei RON, 2113
F  CONSTRUCTII, Total, Maramures, Anul 2021, Milioane lei RON, 2571
F  CONSTRUCTII, Total, Maramures, Anul 2022, Milioane lei RON, 3125
F  CONSTRUCTII, Total, Maramures, Anul 2023, Milioane lei RON, 3586
F  CONSTRUCTII, Total, Maramures, Anul 2024, Milioane lei RON, 4043
F  CONSTRUCTII, Total, Satu Mare, Anul 2008, Milioane lei RON, 1312
F  CONSTRUCTII, Total, Satu Mare, Anul 2009, Milioane lei RON, 1050
F  CONSTRUCTII, Total, Satu Mare, Anul 2010, Milioane lei RON, 1109
F  CONSTRUCTII, Total, Satu Mare, Anul 2011, Milioane lei RON, 1354
F  CONSTRUCTII, Total, Satu Mare, Anul 2012, Milioane lei RON, 1247
F  CONSTRUCTII, Total, Satu Mare, Anul 2013, Milioane lei RON, 1074
F  CONSTRUCTII, Total, Satu Mare, Anul 2014, Milioane lei RON, 980
F  CONSTRUCTII, Total, Satu Mare, Anul 2015, Milioane lei RON, 1389
F  CONSTRUCTII, Total, Satu Mare, Anul 2016, Milioane lei RON, 1106
F  CONSTRUCTII, Total, Satu Mare, Anul 2017, Milioane lei RON, 1116
F  CONSTRUCTII, Total, Satu Mare, Anul 2018, Milioane lei RON, 1174
F  CONSTRUCTII, Total, Satu Mare, Anul 2019, Milioane lei RON, 1640
F  CONSTRUCTII, Total, Satu Mare, Anul 2020, Milioane lei RON, 1955
F  CONSTRUCTII, Total, Satu Mare, Anul 2021, Milioane lei RON, 2203
F  CONSTRUCTII, Total, Satu Mare, Anul 2022, Milioane lei RON, 2585
F  CONSTRUCTII, Total, Satu Mare, Anul 2023, Milioane lei RON, 3295
F  CONSTRUCTII, Total, Satu Mare, Anul 2024, Milioane lei RON, 3494
F  CONSTRUCTII, Total, Salaj, Anul 2008, Milioane lei RON, 457
F  CONSTRUCTII, Total, Salaj, Anul 2009, Milioane lei RON, 322
F  CONSTRUCTII, Total, Salaj, Anul 2010, Milioane lei RON, 328
F  CONSTRUCTII, Total, Salaj, Anul 2011, Milioane lei RON, 422
F  CONSTRUCTII, Total, Salaj, Anul 2012, Milioane lei RON, 465
F  CONSTRUCTII, Total, Salaj, Anul 2013, Milioane lei RON, 450
F  CONSTRUCTII, Total, Salaj, Anul 2014, Milioane lei RON, 470
F  CONSTRUCTII, Total, Salaj, Anul 2015, Milioane lei RON, 598
F  CONSTRUCTII, Total, Salaj, Anul 2016, Milioane lei RON, 532
F  CONSTRUCTII, Total, Salaj, Anul 2017, Milioane lei RON, 559
F  CONSTRUCTII, Total, Salaj, Anul 2018, Milioane lei RON, 624
F  CONSTRUCTII, Total, Salaj, Anul 2019, Milioane lei RON, 772
F  CONSTRUCTII, Total, Salaj, Anul 2020, Milioane lei RON, 892
F  CONSTRUCTII, Total, Salaj, Anul 2021, Milioane lei RON, 1038
F  CONSTRUCTII, Total, Salaj, Anul 2022, Milioane lei RON, 1246
F  CONSTRUCTII, Total, Salaj, Anul 2023, Milioane lei RON, 1346
F  CONSTRUCTII, Total, Salaj, Anul 2024, Milioane lei RON, 1815
F  CONSTRUCTII, Total, Alba, Anul 2008, Milioane lei RON, 847
F  CONSTRUCTII, Total, Alba, Anul 2009, Milioane lei RON, 674
F  CONSTRUCTII, Total, Alba, Anul 2010, Milioane lei RON, 636
F  CONSTRUCTII, Total, Alba, Anul 2011, Milioane lei RON, 698
F  CONSTRUCTII, Total, Alba, Anul 2012, Milioane lei RON, 690
F  CONSTRUCTII, Total, Alba, Anul 2013, Milioane lei RON, 885
F  CONSTRUCTII, Total, Alba, Anul 2014, Milioane lei RON, 838
F  CONSTRUCTII, Total, Alba, Anul 2015, Milioane lei RON, 817
F  CONSTRUCTII, Total, Alba, Anul 2016, Milioane lei RON, 874
F  CONSTRUCTII, Total, Alba, Anul 2017, Milioane lei RON, 1089
F  CONSTRUCTII, Total, Alba, Anul 2018, Milioane lei RON, 996
F  CONSTRUCTII, Total, Alba, Anul 2019, Milioane lei RON, 1336
F  CONSTRUCTII, Total, Alba, Anul 2020, Milioane lei RON, 1505
F  CONSTRUCTII, Total, Alba, Anul 2021, Milioane lei RON, 1667
F  CONSTRUCTII, Total, Alba, Anul 2022, Milioane lei RON, 1938
F  CONSTRUCTII, Total, Alba, Anul 2023, Milioane lei RON, 1936
F  CONSTRUCTII, Total, Alba, Anul 2024, Milioane lei RON, 2136
F  CONSTRUCTII, Total, Brasov, Anul 2008, Milioane lei RON, 3339
F  CONSTRUCTII, Total, Brasov, Anul 2009, Milioane lei RON, 2435
F  CONSTRUCTII, Total, Brasov, Anul 2010, Milioane lei RON, 2245
F  CONSTRUCTII, Total, Brasov, Anul 2011, Milioane lei RON, 2361
F  CONSTRUCTII, Total, Brasov, Anul 2012, Milioane lei RON, 2355
F  CONSTRUCTII, Total, Brasov, Anul 2013, Milioane lei RON, 2217
F  CONSTRUCTII, Total, Brasov, Anul 2014, Milioane lei RON, 2299
F  CONSTRUCTII, Total, Brasov, Anul 2015, Milioane lei RON, 2494
F  CONSTRUCTII, Total, Brasov, Anul 2016, Milioane lei RON, 2473
F  CONSTRUCTII, Total, Brasov, Anul 2017, Milioane lei RON, 2801
F  CONSTRUCTII, Total, Brasov, Anul 2018, Milioane lei RON, 3272
F  CONSTRUCTII, Total, Brasov, Anul 2019, Milioane lei RON, 3856
F  CONSTRUCTII, Total, Brasov, Anul 2020, Milioane lei RON, 4121
F  CONSTRUCTII, Total, Brasov, Anul 2021, Milioane lei RON, 4608
F  CONSTRUCTII, Total, Brasov, Anul 2022, Milioane lei RON, 5698
F  CONSTRUCTII, Total, Brasov, Anul 2023, Milioane lei RON, 6836
F  CONSTRUCTII, Total, Brasov, Anul 2024, Milioane lei RON, 6869
F  CONSTRUCTII, Total, Covasna, Anul 2008, Milioane lei RON, 354
F  CONSTRUCTII, Total, Covasna, Anul 2009, Milioane lei RON, 319
F  CONSTRUCTII, Total, Covasna, Anul 2010, Milioane lei RON, 244
F  CONSTRUCTII, Total, Covasna, Anul 2011, Milioane lei RON, 312
F  CONSTRUCTII, Total, Covasna, Anul 2012, Milioane lei RON, 311
F  CONSTRUCTII, Total, Covasna, Anul 2013, Milioane lei RON, 208
F  CONSTRUCTII, Total, Covasna, Anul 2014, Milioane lei RON, 298
F  CONSTRUCTII, Total, Covasna, Anul 2015, Milioane lei RON, 416
F  CONSTRUCTII, Total, Covasna, Anul 2016, Milioane lei RON, 266
F  CONSTRUCTII, Total, Covasna, Anul 2017, Milioane lei RON, 223
F  CONSTRUCTII, Total, Covasna, Anul 2018, Milioane lei RON, 260
F  CONSTRUCTII, Total, Covasna, Anul 2019, Milioane lei RON, 360
F  CONSTRUCTII, Total, Covasna, Anul 2020, Milioane lei RON, 435
F  CONSTRUCTII, Total, Covasna, Anul 2021, Milioane lei RON, 607
F  CONSTRUCTII, Total, Covasna, Anul 2022, Milioane lei RON, 721
F  CONSTRUCTII, Total, Covasna, Anul 2023, Milioane lei RON, 749
F  CONSTRUCTII, Total, Covasna, Anul 2024, Milioane lei RON, 724
F  CONSTRUCTII, Total, Harghita, Anul 2008, Milioane lei RON, 1079
F  CONSTRUCTII, Total, Harghita, Anul 2009, Milioane lei RON, 894
F  CONSTRUCTII, Total, Harghita, Anul 2010, Milioane lei RON, 701
F  CONSTRUCTII, Total, Harghita, Anul 2011, Milioane lei RON, 755
F  CONSTRUCTII, Total, Harghita, Anul 2012, Milioane lei RON, 740
F  CONSTRUCTII, Total, Harghita, Anul 2013, Milioane lei RON, 735
F  CONSTRUCTII, Total, Harghita, Anul 2014, Milioane lei RON, 824
F  CONSTRUCTII, Total, Harghita, Anul 2015, Milioane lei RON, 741
F  CONSTRUCTII, Total, Harghita, Anul 2016, Milioane lei RON, 597
F  CONSTRUCTII, Total, Harghita, Anul 2017, Milioane lei RON, 631
F  CONSTRUCTII, Total, Harghita, Anul 2018, Milioane lei RON, 762
F  CONSTRUCTII, Total, Harghita, Anul 2019, Milioane lei RON, 1027
F  CONSTRUCTII, Total, Harghita, Anul 2020, Milioane lei RON, 1196
F  CONSTRUCTII, Total, Harghita, Anul 2021, Milioane lei RON, 1480
F  CONSTRUCTII, Total, Harghita, Anul 2022, Milioane lei RON, 1772
F  CONSTRUCTII, Total, Harghita, Anul 2023, Milioane lei RON, 2504
F  CONSTRUCTII, Total, Harghita, Anul 2024, Milioane lei RON, 2322
F  CONSTRUCTII, Total, Mures, Anul 2008, Milioane lei RON, 1459
F  CONSTRUCTII, Total, Mures, Anul 2009, Milioane lei RON, 1089
F  CONSTRUCTII, Total, Mures, Anul 2010, Milioane lei RON, 995
F  CONSTRUCTII, Total, Mures, Anul 2011, Milioane lei RON, 1264
F  CONSTRUCTII, Total, Mures, Anul 2012, Milioane lei RON, 1102
F  CONSTRUCTII, Total, Mures, Anul 2013, Milioane lei RON, 1279
F  CONSTRUCTII, Total, Mures, Anul 2014, Milioane lei RON, 1491
F  CONSTRUCTII, Total, Mures, Anul 2015, Milioane lei RON, 1740
F  CONSTRUCTII, Total, Mures, Anul 2016, Milioane lei RON, 1259
F  CONSTRUCTII, Total, Mures, Anul 2017, Milioane lei RON, 1199
F  CONSTRUCTII, Total, Mures, Anul 2018, Milioane lei RON, 1758
F  CONSTRUCTII, Total, Mures, Anul 2019, Milioane lei RON, 2498
F  CONSTRUCTII, Total, Mures, Anul 2020, Milioane lei RON, 2955
F  CONSTRUCTII, Total, Mures, Anul 2021, Milioane lei RON, 2785
F  CONSTRUCTII, Total, Mures, Anul 2022, Milioane lei RON, 3491
F  CONSTRUCTII, Total, Mures, Anul 2023, Milioane lei RON, 4735
F  CONSTRUCTII, Total, Mures, Anul 2024, Milioane lei RON, 4939
F  CONSTRUCTII, Total, Sibiu, Anul 2008, Milioane lei RON, 1946
F  CONSTRUCTII, Total, Sibiu, Anul 2009, Milioane lei RON, 1655
F  CONSTRUCTII, Total, Sibiu, Anul 2010, Milioane lei RON, 1666
F  CONSTRUCTII, Total, Sibiu, Anul 2011, Milioane lei RON, 1720
F  CONSTRUCTII, Total, Sibiu, Anul 2012, Milioane lei RON, 1815
F  CONSTRUCTII, Total, Sibiu, Anul 2013, Milioane lei RON, 1694
F  CONSTRUCTII, Total, Sibiu, Anul 2014, Milioane lei RON, 2110
F  CONSTRUCTII, Total, Sibiu, Anul 2015, Milioane lei RON, 1792
F  CONSTRUCTII, Total, Sibiu, Anul 2016, Milioane lei RON, 1920
F  CONSTRUCTII, Total, Sibiu, Anul 2017, Milioane lei RON, 2297
F  CONSTRUCTII, Total, Sibiu, Anul 2018, Milioane lei RON, 2412
F  CONSTRUCTII, Total, Sibiu, Anul 2019, Milioane lei RON, 2908
F  CONSTRUCTII, Total, Sibiu, Anul 2020, Milioane lei RON, 3435
F  CONSTRUCTII, Total, Sibiu, Anul 2021, Milioane lei RON, 3625
F  CONSTRUCTII, Total, Sibiu, Anul 2022, Milioane lei RON, 3967
F  CONSTRUCTII, Total, Sibiu, Anul 2023, Milioane lei RON, 4672
F  CONSTRUCTII, Total, Sibiu, Anul 2024, Milioane lei RON, 5501
F  CONSTRUCTII, Total, Bacau, Anul 2008, Milioane lei RON, 2711
F  CONSTRUCTII, Total, Bacau, Anul 2009, Milioane lei RON, 2952
F  CONSTRUCTII, Total, Bacau, Anul 2010, Milioane lei RON, 2405
F  CONSTRUCTII, Total, Bacau, Anul 2011, Milioane lei RON, 3007
F  CONSTRUCTII, Total, Bacau, Anul 2012, Milioane lei RON, 2687
F  CONSTRUCTII, Total, Bacau, Anul 2013, Milioane lei RON, 2178
F  CONSTRUCTII, Total, Bacau, Anul 2014, Milioane lei RON, 1556
F  CONSTRUCTII, Total, Bacau, Anul 2015, Milioane lei RON, 1647
F  CONSTRUCTII, Total, Bacau, Anul 2016, Milioane lei RON, 1431
F  CONSTRUCTII, Total, Bacau, Anul 2017, Milioane lei RON, 1484
F  CONSTRUCTII, Total, Bacau, Anul 2018, Milioane lei RON, 1672
F  CONSTRUCTII, Total, Bacau, Anul 2019, Milioane lei RON, 2604
F  CONSTRUCTII, Total, Bacau, Anul 2020, Milioane lei RON, 4762
F  CONSTRUCTII, Total, Bacau, Anul 2021, Milioane lei RON, 5901
F  CONSTRUCTII, Total, Bacau, Anul 2022, Milioane lei RON, 8439
F  CONSTRUCTII, Total, Bacau, Anul 2023, Milioane lei RON, 12489
F  CONSTRUCTII, Total, Bacau, Anul 2024, Milioane lei RON, 17595
F  CONSTRUCTII, Total, Botosani, Anul 2008, Milioane lei RON, 657
F  CONSTRUCTII, Total, Botosani, Anul 2009, Milioane lei RON, 384
F  CONSTRUCTII, Total, Botosani, Anul 2010, Milioane lei RON, 334
F  CONSTRUCTII, Total, Botosani, Anul 2011, Milioane lei RON, 405
F  CONSTRUCTII, Total, Botosani, Anul 2012, Milioane lei RON, 460
F  CONSTRUCTII, Total, Botosani, Anul 2013, Milioane lei RON, 443
F  CONSTRUCTII, Total, Botosani, Anul 2014, Milioane lei RON, 524
F  CONSTRUCTII, Total, Botosani, Anul 2015, Milioane lei RON, 899
F  CONSTRUCTII, Total, Botosani, Anul 2016, Milioane lei RON, 513
F  CONSTRUCTII, Total, Botosani, Anul 2017, Milioane lei RON, 499
F  CONSTRUCTII, Total, Botosani, Anul 2018, Milioane lei RON, 509
F  CONSTRUCTII, Total, Botosani, Anul 2019, Milioane lei RON, 716
F  CONSTRUCTII, Total, Botosani, Anul 2020, Milioane lei RON, 981
F  CONSTRUCTII, Total, Botosani, Anul 2021, Milioane lei RON, 1131
F  CONSTRUCTII, Total, Botosani, Anul 2022, Milioane lei RON, 1730
